name,league,primary,secondary,tertiary,quaternary,division
Saint Peter's Peacocks,ncaa,#003C71,#0072CE,#A59C94,#000000,MAAC
Sam Houston,ncaa,#F78E1E,#004990,NA,NA,WAC
Samford Bulldogs,ncaa,#C4161D,#002649,NA,NA,Southern
San Diego Toreros,ncaa,#002868,#84BCE8,#207BC1,NA,WCC
San Diego State Aztecs,ncaa,#A6192E,#000000,#FFFFFF,NA,MWC
San Francisco Dons,ncaa,#FDBB30,#00543C,#919194,NA,WCC
San Jose State Spartans,ncaa,#0055A2,#E5A823,#939597,NA,MWC
Santa Clara Broncos,ncaa,#862633,#FFFFFF,NA,NA,WCC
Seattle U,ncaa,#AA0000,#333333,NA,NA,WAC
Seton Hall Pirates,ncaa,#004488,#A2AAAD,NA,NA,Big East
SFA,ncaa,#3F2A55,#FFFFFF,NA,NA,WAC
Siena,ncaa,#FFC72C,#C8102E,#006747,#693F23,MAAC
SIUE,ncaa,#CC0000,#FFFFFF,NA,NA,OVC
SMU,ncaa,#CC0035,#354CA1,NA,NA,AAC
South Alabama Jaguars,ncaa,#00205B,#BF0D3E,NA,NA,Sunbelt
South Carolina Gamecocks,ncaa,#73000A,#000000,NA,NA,SEC
South Carolina State Bulldogs[h],ncaa,#841A2B,#1E4692,NA,NA,MEAC
South Dakota Coyotes,ncaa,#AD0000,#B4B4B4,#000000,NA,Summit
South Dakota State Jackrabbits,ncaa,#0033A0,#FFD100,NA,NA,Summit
South Florida Bulls,ncaa,#006747,#CFC493,NA,NA,AAC
Southeast Mo. State,ncaa,#C8102E,#000000,NA,NA,OVC
Southeastern Louisiana Lions[ap],ncaa,#006341,#EAAA00,NA,NA,Southland
Southern California Trojans[ax],ncaa,#FFC72C,#990000,#FFC72C,NA,Pac 12
Southern Illinois,ncaa,#720000,#000000,NA,NA,MVC
Southern Mississippi Golden Eagles[u],ncaa,#000000,#FFAB00,NA,NA,Sunbelt
Southern U.,ncaa,#69B3E7,#FFC72C,NA,NA,SWAC
Southern Utah Thunderbirds,ncaa,#000000,#FFFFFF,NA,NA,WAC
SaintBonaventure,ncaa,#54261A,#FDB726,#BDB6B0,NA,A-10
SaintFrancis Brooklyn,ncaa,#0038A8,#CE1126,NA,NA,NEC
SaintJohn's (NY),ncaa,#BA0C2F,#041C2C,#A7A8AA,NA,Big East
SaintThomas (MN),ncaa,purple,white,NA,NA,Summit
Stanford,ncaa,#8C1515,#FFFFFF,#4D4F53,#2E2D29,Pac 12
Stetson Hatters,ncaa,#006747,#B58150,#9E652E,#000000,A-Sun
Stony Brook,ncaa,#990000,#16243E,#828282,NA,CAA
Syracuse Orange,ncaa,#D44500,#3E3D3C,#6F777D,#ADB3B8,ACC
Tarleton State,ncaa,#4F2D7F,white,NA,NA,WAC
TCU,ncaa,#4D1979,#A3A9AC,#FFFFFF,NA,Big 12
Temple Owls,ncaa,#9D2235,#FFCD00,#8A8D8F,#C1C6C8,AAC
Tennessee,ncaa,#FF8200,#58595B,#FFFFFF,NA,SEC
Tennessee State Tigers[v],ncaa,#00539F,#FFFFFF,NA,NA,OVC
Tennessee Tech,ncaa,#4F2984,#FFDD00,NA,NA,OVC
Texas,ncaa,#BF5700,#333F48,#FFFFFF,NA,Big 12
Texas A&M Aggies,ncaa,#500000,#FFFFFF,NA,NA,SEC
Texas Southern Tigers[v],ncaa,#6F263D,#A2AAAD,NA,NA,SWAC
Texas State Bobcats,ncaa,#501214,#8D734A,NA,NA,Sunbelt
Texas Tech Red Raiders[at],ncaa,#CC0000,#000000,#FFFFFF,NA,Big 12
The Citadel,ncaa,#3975B7,#FFFFFF,NA,NA,Southern
Toledo Rockets,ncaa,#15397F,#005CB9,#FFDA00,#BEC6C3,MAC
Towson Tigers,ncaa,#000000,#FFCC00,NA,NA,CAA
Troy Trojans,ncaa,#6D0017,#B2B3B5,#000000,NA,Sunbelt
Tulane,ncaa,#006747,#43B02A,#418FDE,#000000,AAC
Tulsa,ncaa,#002D72,#C8102E,#C5B783,#F3D54E,AAC
UAB,ncaa,#006341,#CC8A00,#000000,#BF0D3E,C-USA
UC Davis,ncaa,#002855,#B3A369,NA,NA,Big West
UC Irvine,ncaa,#0C2340,#FFC72C,NA,NA,Big West
UC Riverside,ncaa,#2D6CC0,#003066,#F1AB00,#7A6E67,Big West
UC San Diego,ncaa,#182B49,#C69214,NA,NA,Big West
UC Santa Barbara,ncaa,#004D9F,#FFB814,NA,NA,Big West
UCF,ncaa,#000000,#B7A369,NA,NA,AAC
UCLA,ncaa,#2D68C4,#F2A900,#3284BF,#FFE800,Pac 12
UConn,ncaa,#000E2F,#FFFFFF,NA,NA,Big East
UIC,ncaa,#AC1E2D,#041E42,#FACC09,NA,MVC
UIW,ncaa,#CB333B,#000000,NA,NA,Southland
